K,T,S,sigma,n,m,Error
49,1.0,43.120000000000005,0.36,8,64,0.08955158210746823
49,1.0,43.120000000000005,0.4,8,64,0.07254869759094562
49,1.0,47.04,0.14,5,9,0.004432821203407544
49,1.0,47.04,0.19,5,11,0.00453714493509303
49,1.0,47.04,0.23,6,64,0.0029725043609878047
49,1.0,47.04,0.27,6,25,4.84272001675199e-05
49,1.0,47.04,0.31,6,64,0.02138052026155957
49,1.0,47.04,0.36,8,64,0.10969910463877729
49,1.0,47.04,0.4,8,64,0.08343825770237794
49,1.0,49.6,0.14,5,27,0.000657696534739541
49,1.0,49.6,0.19,5,12,0.0011964298568065536
49,1.0,49.6,0.23,5,64,0.0008498450606404973
49,1.0,49.6,0.27,6,64,0.0016082216010173032
49,1.0,49.6,0.31,6,64,0.01833409591719163
49,1.0,49.6,0.36,4,5,0.0479210600527651
49,1.0,49.6,0.4,8,64,0.09306703200047378
49,1.0,50.96,0.14,5,64,0.007013879561236228
49,1.0,50.96,0.19,5,14,0.00099475660391048
49,1.0,50.96,0.23,5,46,0.00017570227243651553
49,1.0,50.96,0.27,6,64,0.008806445899377749
49,1.0,50.96,0.31,6,64,0.018311397657695072
49,1.0,50.96,0.36,4,5,0.016032871714946353
49,1.0,50.96,0.4,8,64,0.09886847662071117
49,1.0,54.56,0.14,4,64,0.01026787871553946
49,1.0,54.56,0.19,5,36,0.00010676616718645596
49,1.0,54.56,0.23,5,34,0.0002040585364429078
49,1.0,54.56,0.27,6,64,0.026662368982371742
49,1.0,54.56,0.31,6,64,0.022363451137829463
49,1.0,54.56,0.36,4,14,4.0500125089719936e-05
49,1.0,54.56,0.4,4,5,0.08985176598391419
49,1.0,54.879999999999995,0.14,4,64,0.008593474596648606
49,1.0,54.879999999999995,0.19,5,44,0.00010521679808261259
49,1.0,54.879999999999995,0.23,5,36,0.000138293986149682
49,1.0,54.879999999999995,0.27,6,64,0.02815271289020418
49,1.0,54.879999999999995,0.31,6,64,0.022965937261662947
49,1.0,54.879999999999995,0.36,4,18,0.0004582975078801246
49,1.0,54.879999999999995,0.4,4,5,0.08300373744205573
49,1.0,58.8,0.14,4,64,0.0006587165805033276
49,1.0,58.8,0.19,5,64,0.013788797460006181
49,1.0,58.8,0.23,5,64,0.0023194033748427157
49,1.0,58.8,0.27,5,64,0.01853683420495372
49,1.0,58.8,0.31,6,64,0.032967574908880484
49,1.0,58.8,0.36,4,64,0.03497506751481518
49,1.0,58.8,0.4,4,5,0.014944675740166766
49,1.0,59.519999999999996,0.14,4,64,0.0016133601235502545
49,1.0,59.519999999999996,0.19,5,64,0.016096626373656758
49,1.0,59.519999999999996,0.23,5,64,0.003953254534604297
49,1.0,59.519999999999996,0.27,5,64,0.0169387061170167
49,1.0,59.519999999999996,0.31,6,64,0.035288486255049455
49,1.0,59.519999999999996,0.36,4,64,0.04130426327827378
49,1.0,59.519999999999996,0.4,4,5,0.005185584860066072
49,1.0,63.2,0.14,4,64,0.01694750977768975
49,1.0,63.2,0.19,4,64,0.015837544147393995
49,1.0,63.2,0.23,5,64,0.014709392726227531
49,1.0,63.2,0.27,5,64,0.013798705620207274
49,1.0,63.2,0.31,5,64,0.045913737604219
49,1.0,63.2,0.36,6,64,0.05366496184646905
49,1.0,63.2,0.4,4,20,0.0006269011698069831
49,2.0,39.2,0.14,6,9,0.00020633910056593678
49,2.0,39.2,0.19,6,15,0.0012635817839223185
49,2.0,39.2,0.23,6,64,0.0691483118648564
49,2.0,39.2,0.27,8,64,0.0690025237273957
49,2.0,39.2,0.31,5,8,0.06877454698630919
49,2.0,39.2,0.36,6,44,0.00033678219027122796
49,2.0,43.120000000000005,0.14,6,60,4.26051827360732e-05
49,2.0,43.120000000000005,0.19,6,32,9.204798663339062e-05
49,2.0,43.120000000000005,0.23,6,64,0.069035616342513
49,2.0,43.120000000000005,0.27,8,64,0.08689581472361514
49,2.0,43.120000000000005,0.31,5,15,0.0015029484151940504
49,2.0,43.120000000000005,0.36,6,64,0.08515484894068492
49,2.0,47.04,0.14,5,44,4.411804556987818e-06
49,2.0,47.04,0.19,6,64,0.012455658348872365
49,2.0,47.04,0.23,4,27,0.00048187349869111305
49,2.0,47.04,0.27,8,64,0.10322361364758442
49,2.0,47.04,0.31,5,64,0.048253176610093415
49,2.0,47.04,0.36,6,64,0.1407312107696333
49,2.0,49.6,0.14,5,64,0.006100112887651135
49,2.0,49.6,0.19,6,64,0.02455248004372715
49,2.0,49.6,0.23,4,64,0.040133291133768005
49,2.0,49.6,0.27,8,64,0.114043363283313
49,2.0,49.6,0.31,5,64,0.08414399982958391
49,2.0,49.6,0.36,5,8,0.1326114010779394
49,2.0,50.96,0.14,5,64,0.010131549083727064
49,2.0,50.96,0.19,6,64,0.03012110195312785
49,2.0,50.96,0.23,6,64,0.049712253683280756
49,2.0,50.96,0.27,4,9,0.09061265578519151
49,2.0,50.96,0.31,5,64,0.09844287266873193
49,2.0,50.96,0.36,5,8,0.10142068676282678
49,2.0,54.56,0.14,5,64,0.0167333275568361
49,2.0,54.56,0.19,6,64,0.04272751538789711
49,2.0,54.56,0.23,6,64,0.046430716673454706
49,2.0,54.56,0.27,4,9,0.016741018363282952
49,2.0,54.56,0.31,5,64,0.1236167410804384
49,2.0,54.56,0.36,5,8,0.03462979638158328
49,2.0,54.879999999999995,0.14,5,64,0.017116404311728086
49,2.0,54.879999999999995,0.19,6,64,0.04373036403677368
49,2.0,54.879999999999995,0.23,6,64,0.04634628105093797
49,2.0,54.879999999999995,0.27,4,9,0.011505745007990793
49,2.0,54.879999999999995,0.31,5,64,0.12509007699216645
49,2.0,54.879999999999995,0.36,5,8,0.02964169350913523
49,2.0,58.8,0.14,5,64,0.02055618504314468
49,2.0,58.8,0.19,5,64,0.03240150167368796
49,2.0,58.8,0.23,6,64,0.04803602073924168
49,2.0,58.8,0.27,4,64,0.00850553225190508
49,2.0,58.8,0.31,4,11,0.11142224901325165
49,2.0,58.8,0.36,5,18,0.00021148867444506305
49,2.0,59.519999999999996,0.14,5,64,0.021082739628189726
49,2.0,59.519999999999996,0.19,5,64,0.030307399215244495
49,2.0,59.519999999999996,0.23,6,64,0.048894057465977275
49,2.0,59.519999999999996,0.27,4,64,0.016269088643835736
49,2.0,59.519999999999996,0.31,4,11,0.09893438911785853
49,2.0,59.519999999999996,0.36,5,39,0.00011635741286104221
49,2.0,63.2,0.14,5,64,0.023875688755516666
49,2.0,63.2,0.19,5,64,0.023690622650901848
49,2.0,63.2,0.23,6,64,0.05597704559577296
49,2.0,63.2,0.27,4,64,0.046267470588387385
49,2.0,63.2,0.31,4,11,0.045407174295687344
49,2.0,63.2,0.36,5,64,0.033527512850135124
49,3.0,39.2,0.14,6,14,6.170874277852487e-05
49,3.0,39.2,0.19,6,64,0.06572089507699574
49,3.0,39.2,0.23,8,64,0.08519401560200457
49,3.0,39.2,0.27,8,64,0.15178127114986317
49,3.0,39.2,0.31,6,11,0.10798298108120025
49,3.0,39.2,0.36,8,64,0.1238217676636894
49,3.0,43.120000000000005,0.14,6,64,0.004070481266682445
49,3.0,43.120000000000005,0.19,4,14,0.07869283031261369
49,3.0,43.120000000000005,0.23,8,64,0.10065040886073369
49,3.0,43.120000000000005,0.27,5,12,0.11487778451103389
49,3.0,43.120000000000005,0.31,6,12,0.002331128834823186
49,3.0,43.120000000000005,0.36,8,64,0.18973899281247816
49,3.0,47.04,0.14,6,64,0.03828269333127798
49,3.0,47.04,0.19,4,55,0.00020641938847028792
49,3.0,47.04,0.23,8,64,0.1124484942229716
49,3.0,47.04,0.27,5,12,0.014506269204658776
49,3.0,47.04,0.31,6,64,0.03605494560174986
49,3.0,47.04,0.36,8,64,0.23290597237866323
49,3.0,49.6,0.14,6,64,0.05031718464810516
49,3.0,49.6,0.19,4,64,0.04790971253696035
49,3.0,49.6,0.23,8,64,0.12030861592603287
49,3.0,49.6,0.27,5,46,0.00026080246067303073
49,3.0,49.6,0.31,6,64,0.0748318727621721
49,3.0,49.6,0.36,6,11,0.18765091382792826
49,3.0,50.96,0.14,5,64,0.05228674477148923
49,3.0,50.96,0.19,6,64,0.06691716117355707
49,3.0,50.96,0.23,4,14,0.11767059546036161
49,3.0,50.96,0.27,5,64,0.01887305505259863
49,3.0,50.96,0.31,6,64,0.09163125905375982
49,3.0,50.96,0.36,6,11,0.15644334340785593
49,3.0,54.56,0.14,5,64,0.039455155163331986
49,3.0,54.56,0.19,6,64,0.061128638970936254
49,3.0,54.56,0.23,4,14,0.04320594352551887
49,3.0,54.56,0.27,5,64,0.06264729119515487
49,3.0,54.56,0.31,5,12,0.09939922243717028
49,3.0,54.56,0.36,6,11,0.08613351029486797
49,3.0,54.879999999999995,0.14,5,64,0.038407218381078224
49,3.0,54.879999999999995,0.19,6,64,0.06075656290104045
49,3.0,54.879999999999995,0.23,4,14,0.037810578883969236
49,3.0,54.879999999999995,0.27,5,64,0.06572054983922214
49,3.0,54.879999999999995,0.31,5,12,0.09373511409835505
49,3.0,54.879999999999995,0.36,6,11,0.08063415114677926
49,3.0,58.8,0.14,5,64,0.027783089959717962
49,3.0,58.8,0.19,6,64,0.058486413230147395
49,3.0,58.8,0.23,4,39,0.0003056443267505419
49,3.0,58.8,0.27,5,64,0.09458114649619997
49,3.0,58.8,0.31,5,12,0.03419335058912163
49,3.0,58.8,0.36,6,11,0.021434006061458954
49,3.0,59.519999999999996,0.14,5,64,0.026373013243395808
49,3.0,59.519999999999996,0.19,6,64,0.05856683903181391
49,3.0,59.519999999999996,0.23,4,64,0.004324314762180771
49,3.0,59.519999999999996,0.27,5,64,0.09832308369720921
49,3.0,59.519999999999996,0.31,5,12,0.025002914822957405
49,3.0,59.519999999999996,0.36,6,11,0.012019009922770723
49,3.0,63.2,0.14,5,64,0.02245075398180818
49,3.0,63.2,0.19,6,64,0.06164443769988475
49,3.0,63.2,0.23,4,64,0.036636586309381755
49,3.0,63.2,0.27,4,15,0.08470995133062484
49,3.0,63.2,0.31,5,41,3.6371402344283264e-05
49,3.0,63.2,0.36,6,64,0.01601148458615111
49,5.0,39.2,0.14,6,64,0.05087894841648166
49,5.0,39.2,0.19,5,20,0.001448414949358276
49,5.0,39.2,0.23,6,44,0.00045239268985320405
49,5.0,39.2,0.27,8,64,0.22160792337112384
49,5.0,39.2,0.31,8,14,0.13249459095178096
49,5.0,39.2,0.36,10,11,0.12610694256252422
49,5.0,43.120000000000005,0.14,4,64,0.008274940969888102
49,5.0,43.120000000000005,0.19,5,64,0.061610014256096045
49,5.0,43.120000000000005,0.23,6,64,0.0786049244820661
49,5.0,43.120000000000005,0.27,6,17,0.22145974902108775
49,5.0,43.120000000000005,0.31,8,14,0.03016369842702939
49,5.0,43.120000000000005,0.36,10,11,0.02770180630804927
49,5.0,47.04,0.14,6,64,0.08041159936182425
49,5.0,47.04,0.19,5,64,0.11800223370981112
49,5.0,47.04,0.23,5,20,0.13011479419639366
49,5.0,47.04,0.27,6,17,0.11955556384573036
49,5.0,47.04,0.31,8,64,0.03127877519782656
49,5.0,47.04,0.36,10,52,0.04858619068657732
49,5.0,49.6,0.14,6,64,0.07622237300539417
49,5.0,49.6,0.19,5,64,0.1399103485761284
49,5.0,49.6,0.23,5,20,0.07545058210007753
49,5.0,49.6,0.27,6,17,0.0673555853471763
49,5.0,49.6,0.31,8,64,0.07382812054760655
49,5.0,49.6,0.36,10,18,0.0925718013000113
49,5.0,50.96,0.14,6,64,0.07345657128791097
49,5.0,50.96,0.19,4,24,0.12351136383456576
49,5.0,50.96,0.23,5,20,0.0508596250998867
49,5.0,50.96,0.27,6,17,0.04327213614262375
49,5.0,50.96,0.31,8,64,0.09379765153575409
49,5.0,50.96,0.36,10,14,0.1135026510307117
49,5.0,54.56,0.14,6,64,0.06615657557531124
49,5.0,54.56,0.19,4,24,0.057036182290544885
49,5.0,54.56,0.23,5,22,0.00041610637999696387
49,5.0,54.56,0.27,6,39,0.0001761039157771259
49,5.0,54.56,0.31,8,64,0.13937912906989589
49,5.0,54.56,0.36,8,64,0.09203168741962868
49,5.0,54.879999999999995,0.14,6,64,0.06557232526612251
49,5.0,54.879999999999995,0.19,4,24,0.05210149139596391
49,5.0,54.879999999999995,0.23,5,30,0.00034293892162715436
49,5.0,54.879999999999995,0.27,6,64,0.0014575949777857458
49,5.0,54.879999999999995,0.31,8,64,0.14298206527913304
49,5.0,54.879999999999995,0.36,8,64,0.08682370742517315
49,5.0,58.8,0.14,6,64,0.060158139327684074
49,5.0,58.8,0.19,4,24,0.0019820416436525904
49,5.0,58.8,0.23,5,64,0.03536313719626336
49,5.0,58.8,0.27,6,64,0.04776266156659227
49,5.0,58.8,0.31,6,17,0.12493085313110087
49,5.0,58.8,0.36,8,64,0.02831129711773986
49,5.0,59.519999999999996,0.14,6,64,0.05959955746200172
49,5.0,59.519999999999996,0.19,4,36,0.00020376361772374228
49,5.0,59.519999999999996,0.23,5,64,0.041760826922775926
49,5.0,59.519999999999996,0.27,6,64,0.05505019525261565
49,5.0,59.519999999999996,0.31,6,17,0.11451552081936281
49,5.0,59.519999999999996,0.36,8,64,0.018516512950554124
49,5.0,63.2,0.14,6,64,0.0593603042148809
49,5.0,63.2,0.19,4,64,0.027267714743560056
49,5.0,63.2,0.23,5,64,0.06873775171403096
49,5.0,63.2,0.27,5,20,0.07712178258117003
49,5.0,63.2,0.31,6,17,0.06638050790275238
49,5.0,63.2,0.36,8,14,0.023411509849597622
62,0.1,47.04,0.1,128,4,9.840177759376366e+16
62,0.1,47.04,0.14,128,4,205037930.27180678
62,0.1,47.04,0.19,4,27,322.4502963415296
62,0.1,47.04,0.23,128,4,19.135283523640393
62,0.1,47.04,0.27,5,4,0.9162416434036834
62,0.1,47.04,0.31,10,9,0.003459627195288343
62,0.1,47.04,0.36,19,36,0.0022948955392334616
62,0.1,47.04,0.4,16,64,0.0004599710843124501
62,0.1,49.6,0.1,128,4,61037239693.65601
62,0.1,49.6,0.14,128,4,57191.59367018347
62,0.1,49.6,0.19,128,4,13.307373212276143
62,0.1,49.6,0.23,128,4,1.0572573280557773
62,0.1,49.6,0.27,19,49,0.001345151025848987
62,0.1,49.6,0.31,19,46,0.00012010767847543039
62,0.1,49.6,0.36,14,22,0.0007241746468930554
62,0.1,49.6,0.4,6,4,0.0001870507980158744
62,0.1,50.96,0.1,128,4,102700886.96848314
62,0.1,50.96,0.14,4,15,51.86242000089824
62,0.1,50.96,0.19,128,4,1.569814006716309
62,0.1,50.96,0.23,16,20,0.002894879448374142
62,0.1,50.96,0.27,19,64,0.0010060135733256069
62,0.1,50.96,0.31,14,18,0.001680487503239885
62,0.1,50.96,0.36,14,44,0.0003477843848659256
62,0.1,50.96,0.4,12,30,0.00033637838197901376
62,0.1,54.56,0.1,128,4,102.69645230101193
62,0.1,54.56,0.14,8,14,0.009096443585718457
62,0.1,54.56,0.19,14,24,0.00048014747003750056
62,0.1,54.56,0.23,16,64,0.0007266673755514591
62,0.1,54.56,0.27,12,46,0.0011434512029993957
62,0.1,54.56,0.31,10,64,0.00440821774339113
62,0.1,54.56,0.36,10,64,0.008508939115951063
62,0.1,54.56,0.4,10,64,0.01745486099964836
62,0.1,54.879999999999995,0.1,128,4,35.57963541024079
62,0.1,54.879999999999995,0.14,14,41,0.0013489953969448103
62,0.1,54.879999999999995,0.19,16,34,1.872411716878756e-05
62,0.1,54.879999999999995,0.23,12,46,0.0003866649755311058
62,0.1,54.879999999999995,0.27,6,18,0.0019713419958124288
62,0.1,54.879999999999995,0.31,10,64,0.0171169648620978
62,0.1,54.879999999999995,0.36,5,4,0.006624129590051002
62,0.1,54.879999999999995,0.4,5,4,0.02206938637348308
62,0.1,58.8,0.1,14,49,0.0005548883673778711
62,0.1,58.8,0.14,8,25,0.0008205948272974699
62,0.1,58.8,0.19,4,27,0.0001090806856449592
62,0.1,58.8,0.23,4,60,0.00019919683194505954
62,0.1,58.8,0.27,5,7,0.0014901925250297655
62,0.1,58.8,0.31,5,6,0.008336288855916012
62,0.1,58.8,0.36,5,5,0.010507571406782707
62,0.1,58.8,0.4,5,4,0.008243835594448239
62,0.1,59.519999999999996,0.1,10,30,0.0002970889476597686
62,0.1,59.519999999999996,0.14,5,36,0.00011903835678979674
62,0.1,59.519999999999996,0.19,5,34,0.0005716270376989095
62,0.1,59.519999999999996,0.23,4,11,0.0008308503468854886
62,0.1,59.519999999999996,0.27,4,27,0.00021152696480150268
62,0.1,59.519999999999996,0.31,5,7,0.0032020886614218375
62,0.1,59.519999999999996,0.36,5,5,0.0029471497288496235
62,0.1,59.519999999999996,0.4,5,4,0.01473440648254664
62,0.1,63.2,0.1,6,44,0.00023122037396421704
62,0.1,63.2,0.14,6,57,4.7883029160814174e-05
62,0.1,63.2,0.19,6,64,0.01389575708353933
62,0.1,63.2,0.23,4,4,0.030398838714421485
62,0.1,63.2,0.27,4,4,0.011631155566362834
